obj,src,value
"O'Rourke, Heather",wikipedia,San Diego
"Lawrence, Vicki",wikipedia,Victoria
"Lawrence, Vicki",howold,California
"Pike, Rosamund",aceshowbiz,London
"Pike, Rosamund",wikipedia,Hammersmith
"Pike, Rosamund",popsugar,Hammersmith
"Pike, Rosamund",howold,Hammersmith
"Dupuis, Roy",wikipedia,New Liskeard
"Dupuis, Roy",howold,Canada
"Upham, Misty",wikipedia,Kalispell
"Upham, Misty",howold,Kalispell
"Paige, Elaine",wikiquote,New York
"Paige, Elaine",wikipedia,Barnet
"Paige, Elaine",howold,England
"McCallany, Holt",wikipedia,New York
"McCallany, Holt",howold,New York
"Sheeran, Ed",wikiquote,Mobile
"Sheeran, Ed",aceshowbiz,Christopher
"Sheeran, Ed",wikipedia,West Yorkshire
"Sheeran, Ed",popsugar,West Yorkshire
"Sheeran, Ed",howold,England
"Holdridge, Alex",wikipedia,Atlanta
"Holdridge, Alex",howold,Atlanta
"Roman, Tami",wikipedia,Mount Vernon
"Roman, Tami",howold,Mount Vernon
"Bijlani, Sangeeta",wikipedia,Mumbai
"Bijlani, Sangeeta",howold,India
"Harmon, Angie",aceshowbiz,Dallas
"Harmon, Angie",wikipedia,Highland
"Harmon, Angie",howold,Texas
"Harbaugh, Jim",wikipedia,Michigan
"Harbaugh, Jim",howold,Ohio
"Levi, Zachary",wikipedia,Lake Charles
"Levi, Zachary",popsugar,Lake Charles
"Levi, Zachary",howold,Lake Charles
"Waddle, Chris",wikipedia,Newcastle
"Waddle, Chris",howold,England
"Kevorkian, Jack",wikipedia,Pontiac
"Kevorkian, Jack",howold,Pontiac
"Alzado, Lyle",wikipedia,Brooklyn
"Alzado, Lyle",howold,Brooklyn
"Karlen, John",wikipedia,Brooklyn
"Karlen, John",howold,Brooklyn
"Staley, Layne",wikipedia,Kirkland
"Staley, Layne",howold,Kirkland
"Elfman, Danny",wikiquote,Hollywood
"Elfman, Danny",wikipedia,Los Angeles
"Elfman, Danny",howold,California
"Bernsen, Corbin",wikipedia,North Hollywood
"Bernsen, Corbin",howold,USA
"Goodyear, Julie",wikipedia,Bury
"Goodyear, Julie",howold,England
"Hamlisch, Marvin",wikipedia,New York
"Hamlisch, Marvin",howold,New York
"Goodwin, Ginnifer",aceshowbiz,Memphis
"Goodwin, Ginnifer",wikipedia,Memphis
"Goodwin, Ginnifer",popsugar,Memphis
"Goodwin, Ginnifer",howold,Memphis
"Ratajkowski, Emily",wikipedia,London
"Ratajkowski, Emily",popsugar,London
"Ratajkowski, Emily",howold,England
"Gavankar, Janina",wikipedia,Joliet
"Gavankar, Janina",howold,Illinois
"Moreau, Jeanne",lifetimetv,Paris
"Moreau, Jeanne",wikipedia,Paris
"Haley, Alex",wikiquote,Mobile
"Haley, Alex",wikipedia,Murray
"Haley, Alex",howold,Ithaca
"Seyfried, Amanda",wikipedia,Allentown
"Seyfried, Amanda",popsugar,Allentown
"Seyfried, Amanda",howold,Allentown
"Reina, Juanita",wikipedia,Seville
"Reina, Juanita",howold,Spain
"Auster, Paul",wikiquote,New York
"Auster, Paul",wikipedia,Newark
"Auster, Paul",howold,New York
"Fukuyama, Masaharu",wikipedia,Nagasaki
"Fukuyama, Masaharu",howold,Nagasaki
"Rhys, Matthew",wikipedia,Cardiff
"Rhys, Matthew",popsugar,Hollywood
"Aaron, Hank",wikiquote,Mobile
"Aaron, Hank",wikipedia,Mobile
"Aaron, Hank",howold,Milwaukee
"Janssen, Famke",aceshowbiz,Amsterdam
"Janssen, Famke",wikipedia,Amstelveen
"Cuomo, Mario",wikipedia,Queens
"Cuomo, Mario",howold,Queens
"Ritchson, Alan",wikipedia,Grand Forks
"Ritchson, Alan",howold,Grand Forks
"Kewley, Jeremy",wikipedia,Melbourne
"Humphries, Barry",lifetimetv,Melbourne
"Humphries, Barry",howold,Kew
"Humphries, Barry",wikipedia,Kew
"Humphries, Barry",wikiquote,Mobile
"Matthau, Walter",lifetimetv,Ryan
"Matthau, Walter",latimes,New York
"Matthau, Walter",wikipedia,New York
"Matthau, Walter",howold,New York
"Dutta, Lara",wikipedia,Ghaziabad
"Berryman, Michael",wikipedia,Los Angeles
"Berryman, Michael",howold,California
"Twitty, Conway",wikipedia,Friars Point
"Twitty, Conway",howold,Mississippi
"Grohl, Dave",wikiquote,New York
"Grohl, Dave",wikipedia,Warren
"Grohl, Dave",howold,Warren
"Tompkins, Angel",wikipedia,Albany
"Tompkins, Angel",howold,Albany
"Sidibe, Gabourey",wikipedia,Brooklyn
"Sidibe, Gabourey",popsugar,Brooklyn
"Sidibe, Gabourey",howold,New York
"Goines, Donald",wikipedia,Detroit
"Majorino, Tina",wikipedia,Westlake
"Majorino, Tina",howold,California
"Wallace, Rusty",wikipedia,Wallace
"Wallace, Rusty",howold,Missouri
"Zito, Barry",wikipedia,Las Vegas
"Zito, Barry",howold,Oakland
"Sanda, Dominique",wikipedia,Paris
"Sanda, Dominique",howold,Paris
"Warburton, Patrick",wikipedia,Paterson
"Warburton, Patrick",howold,Paterson
"Poitier, Sidney",lifetimetv,Miami
"Poitier, Sidney",latimes,Miami
"Poitier, Sidney",wikipedia,Miami
"Poitier, Sidney",howold,Miami
"Kemmer, Ed",lifetimetv,Trinidad
"Kemmer, Ed",wikipedia,Reading
"Kemmer, Ed",howold,Pennsylvania
"Enos, Mireille",wikipedia,Kansas
"Enos, Mireille",howold,Houston
"Fonda, Bridget",wikipedia,Los Angeles
"Fonda, Bridget",howold,California
"Kidder, Margot",lifetimetv,Canada
"Kidder, Margot",wikipedia,Yellowknife
"Kidder, Margot",howold,Northwest Territories
"Murch, Walter",wikiquote,New York
"Murch, Walter",wikipedia,New York
"Murch, Walter",howold,New York
